医療機関略称,所在地,電話番号
はんざわ内科胃腸科,仙台市若林区南石切町１４−１０,022-726-5381
堀田 修 クリニック,仙台市若林区六丁の目南町２−３９,022-390-6033
松永女性クリニック,仙台市若林区河原町１丁目３−１７,022-722-3288
佐藤内科クリニック,仙台市若林区蒲町２７−２１,022-781-2521
七郷クリニック,仙台市若林区荒井３丁目２５－４,022-287-1475
清水内科外科医院,仙台市若林区若林５丁目４－５０,022-286-1586
しんてらこどもクリニック,仙台市若林区新寺１丁目８−１　コープエステート新寺ビル２Ｆ,022-298-6188
新寺内科,仙台市若林区新寺１丁目８－１　コープエステートビル２階,022-355-9623
ＧＩスズキクリニック,仙台市若林区新寺２丁目２−１１　新寺２１１ビル４Ｆ,022-293-0211
スガワラクリニック,仙台市若林区中倉１丁目１−５,022-284-1831
杉山内科消化器科,仙台市若林区中倉２丁目１−２０,022-239-5611
仙台産業医科診療所,仙台市若林区六丁の目西町１−４３,022-288-7701
仙台在宅支援たいようクリニック,仙台市若林区蒲町３０番３号,022-355-2533
仙台市急患センター,仙台市若林区舟丁６４−１２,022-266-6561
仙台中央病院,仙台市若林区新寺３丁目１３−６,022-297-0208
たかやなぎこども医院,仙台市若林区上飯田１丁目２１−１８,022-286-8811
高柳内科医院,仙台市若林区堰場１番地,022-222-4784
東部内科医院,仙台市若林区六丁の目中町１−５７,022-287-6333
東北医科薬科大学　若林病院,仙台市若林区大和町２丁目２９−１,022-236-5911
特別養護老人ホームチアフル遠見塚,仙台市若林区遠見塚１丁目１４−３０,022-286-2591
長島内科医院,仙台市若林区一本杉町１８−１１,022-235-8331
ながぬま内科クリニック,仙台市若林区沖野７丁目４３−２９,022-781-2551
なないろの里クリニック,仙台市若林区なないろの里１丁目１９－４　メデルなないろの里１階,022-352-7022
はなクリニック,仙台市若林区荒井２丁目１８－１１,022-288-8777
はやし内科クリニック,仙台市若林区大和町２丁目６−３　大和町メディカルセンター２Ｆ,022-762-5686
はんざわ内科胃腸科,仙台市若林区南石切町１４−１０,022-726-5381
堀田 修 クリニック,仙台市若林区六丁の目南町２−３９,022-390-6033
松永女性クリニック,仙台市若林区河原町１丁目３−１７,022-722-3288
みやぎ健診プラザ,仙台市若林区卸町１丁目６−９,022-231-3655
杜の里内科クリニック,仙台市若林区荒井東２丁目１２－７,022-762-8281
やべ内科クリニック,仙台市若林区沖野４丁目３−２０,022-285-3151
やまだクリニック,仙台市若林区南小泉２丁目１４－１７,022-352-3655
やまと内科クリニック,仙台市若林区なないろの里１丁目１５－１１,022-766-8521
やまもと内科クリニック,仙台市若林区古城３丁目６−１１,022-781-0766
結城クリニック,仙台市若林区上飯田字天神１０８−４,022-289-3322
ラポール,仙台市若林区堰場１２－５　ソレアード舟丁1F,022-217-0855
六丁の目　胃と腸クリニック,仙台市若林区六丁の目南町８−１０　レジデンス大一,022-288-9006
若林クリニック,仙台市若林区下飯田字遠谷地１７４,022-289-8588
あおぞら在宅診療所　仙台南,仙台市太白区長町７丁目１９−３９　ＣＯＭビル３０１,022-797-8807
青沼内科医院,仙台市太白区郡山３丁目２２−６,022-248-6630
浅沼整形外科,仙台市太白区長町４丁目７−１２,022-247-7533
あすと長町えだクリニック,仙台市太白区あすと長町３丁目３−３３,022-308-1555
あすとながまち心身クリニック,仙台市太白区あすと長町１丁目２－１　仙台長町メディカルプラザ2Ｆ,022-398-4892
あすと長町みんなのクリニック,仙台市太白区あすと長町１丁目３－１　ＳＨＩＰ仙台2Ｆ,022-796-8020
あんどうクリニック,仙台市太白区四郎丸字吹上２８−３８,022-741-7555
今井クリニック,仙台市太白区太白１丁目７−１,022-244-5331
うちだクリニック,仙台市太白区長町１丁目６−３,022-748-0567
生出診療所,仙台市太白区茂庭字新熊野６４,022-281-2250
往診クリニック　ビーナス,仙台市太白区袋原３丁目１－３１,022-302-6772
大岡内科医院,仙台市太白区八木山緑町８−３３,022-229-0201
大波医院,仙台市太白区大塒町６−１,022-247-7212
おおのだ田中クリニック,仙台市太白区大野田４丁目１８－１,022-398-7235
尾形小児科クリニック,仙台市太白区袋原字台３１−１,022-242-6881
かさい内科,仙台市太白区富沢南１丁目２５−１,022-746-5885
かさはらＬクリニック,仙台市太白区郡山１丁目１５－５,022-304-2555
かねこクリニック,仙台市太白区西の平１丁目２５−２７,022-307-5666
菊地内科クリニック,仙台市太白区東中田１丁目１８−３０,022-306-1010
興野内科,仙台市太白区松が丘８−１０,022-229-6868
きんぱらクリニック,仙台市太白区西中田３丁目６−４６,022-306-1166
くすの木内科クリニック,仙台市太白区中田３丁目８－３７,022-397-6116
くまがいクリニック内科・消化器科,仙台市太白区西多賀１丁目１９−１５,022-243-7050
クリニックソアーズ,仙台市太白区西中田２丁目１９−１,022-306-3515
広南休日診療所,仙台市太白区長町５丁目９－１３,022-248-5858
河野医院,仙台市太白区旗立２丁目４−１８,022-307-0271
小林内科医院,仙台市太白区鹿野２丁目４−１５,022-248-3063
今野医院,仙台市太白区鈎取１丁目６−１７,022-245-0660
さとう小児科,仙台市太白区鈎取本町１丁目５−５,022-245-8434
さとう腎臓内科ひ尿器科,仙台市太白区長町２丁目９－３１,022-302-6672
佐藤内科外科クリニック,仙台市太白区柳生４丁目１４−３,022-741-5631
サポートはぎ診療所,仙台市太白区大野田５丁目２３－３,022-746-6881
宍戸クリニック,仙台市太白区柳生７丁目２−９,022-242-7060
しろうまる浅田クリニック,仙台市太白区四郎丸神明２９－１０,022-395-5161
ＪＣＨＯ仙台南病院,仙台市太白区中田町字前沖１４３,
菅原医院,仙台市太白区秋保町長袋字大原３１−１,022-399-2153
すがわら小児科,仙台市太白区あすと長町１丁目２−１　仙台長町メディカルプラザ２階,022-797-7607
鈴木研一内科クリニック,仙台市太白区長町３丁目３−６,022-304-5660
すずき整形外科・小児科内科,仙台市太白区長町南３丁目３５－１,022-248-1665
仙台今村クリニック,仙台市太白区長町５丁目３−１　たいはっくる２階,022-249-7611
仙台クリニック,仙台市太白区秋保町湯元字木戸保１−１,022-398-2201
仙台クローバークリニック,仙台市太白区あすと長町１丁目２－１　長町メディカルプラザ３階,022-797-5164
仙台市夜間休日こども急病診療所,仙台市太白区あすと長町１丁目１－１　仙台市立病院１階,022-247-7035
仙台市立病院,仙台市太白区あすと長町１丁目１－１,022-308-7111
仙台赤十字病院,仙台市太白区八木山本町２丁目４３−３,022-243-1111
仙台富沢病院,仙台市太白区富沢字寺城１１−４,022-307-3375
仙台西多賀病院,仙台市太白区鈎取本町２−１１−１１,022-245-2111
仙台柳生クリニック,仙台市太白区柳生７丁目１６−１,022-241-6651
太白ありのまま舎医務室,仙台市太白区茂庭台２丁目１５−３０,022-281-1200
太白クリニック,仙台市太白区富沢字鍛冶屋敷前２３,022-226-8339
舘下診療所,仙台市太白区長町５丁目２−１６　１０１,022-748-0173
ちばクリニック,仙台市太白区緑ケ丘１丁目３−１９,022-248-5778
富沢ホームケアクリニック,仙台市太白区大野田４丁目１８－２,022-796-1720
富沢南とだクリニック,仙台市太白区富沢南１丁目１４−３,022-243-7288
内科星クリニック,仙台市太白区袋原６丁目１０−３１,022-241-3366
ないとうクリニック,仙台市太白区茂庭台３丁目３０－３０,022-281-5490
中田公園前クリニック,仙台市太白区東中田４丁目５−５,022-241-5555
中田内科胃腸科医院,仙台市太白区中田４丁目１６−３,022-306-1511
長町病院,仙台市太白区長町３丁目７−２６,022-746-5161
長町南クリニック,仙台市太白区長町南２丁目６－５,022-796-8763
なるみ赤ちゃんこどもクリニック,仙台市太白区長町南３－９－２８　バリーハイツ２Ｆ,022-746-8452
新井川内科,仙台市太白区泉崎１丁目２９−１５,022-243-4141
西多賀やまだ内科,仙台市太白区西多賀３丁目５－１８,022-796-5090
西中田中央内科小児科,仙台市太白区西中田５丁目１２−１２,022-241-1131
花だて内科循環器科,仙台市太白区大野田５丁目３８－３,022-797-3466
仙台クリニック,仙台市太白区秋保町湯元字木戸保１−１,022-398-2201
仙台クローバークリニック,仙台市太白区あすと長町１丁目２－１　長町メディカルプラザ３階,022-797-5164
仙台市夜間休日こども急病診療所,仙台市太白区あすと長町１丁目１－１　仙台市立病院１階,022-247-7035
仙台市立病院,仙台市太白区あすと長町１丁目１－１,022-308-7111
仙台赤十字病院,仙台市太白区八木山本町２丁目４３−３,022-243-1111
仙台富沢病院,仙台市太白区富沢字寺城１１−４,022-307-3375
仙台西多賀病院,仙台市太白区鈎取本町２−１１−１１,022-245-2111
仙台柳生クリニック,仙台市太白区柳生７丁目１６−１,022-241-6651
太白ありのまま舎医務室,仙台市太白区茂庭台２丁目１５−３０,022-281-1200
太白クリニック,仙台市太白区富沢字鍛冶屋敷前２３,022-226-8339
舘下診療所,仙台市太白区長町５丁目２−１６　１０１,022-748-0173
ちばクリニック,仙台市太白区緑ケ丘１丁目３−１９,022-248-5778
富沢ホームケアクリニック,仙台市太白区大野田４丁目１８－２,022-796-1720
富沢南とだクリニック,仙台市太白区富沢南１丁目１４−３,022-243-7288
内科星クリニック,仙台市太白区袋原６丁目１０−３１,022-241-3366
ないとうクリニック,仙台市太白区茂庭台３丁目３０－３０,022-281-5490
中田公園前クリニック,仙台市太白区東中田４丁目５−５,022-241-5555
中田内科胃腸科医院,仙台市太白区中田４丁目１６−３,022-306-1511
長町病院,仙台市太白区長町３丁目７−２６,022-746-5161
長町南クリニック,仙台市太白区長町南２丁目６－５,022-796-8763
なるみ赤ちゃんこどもクリニック,仙台市太白区長町南３－９－２８　バリーハイツ２Ｆ,022-746-8452
新井川内科,仙台市太白区泉崎１丁目２９−１５,022-243-4141
西多賀やまだ内科,仙台市太白区西多賀３丁目５－１８,022-796-5090
西中田中央内科小児科,仙台市太白区西中田５丁目１２−１２,022-241-1131
花だて内科循環器科,仙台市太白区大野田５丁目３８－３,022-797-3466
仙台クリニック,仙台市太白区秋保町湯元字木戸保１−１,022-398-2201
仙台クローバークリニック,仙台市太白区あすと長町１丁目２－１　長町メディカルプラザ３階,022-797-5164
仙台市夜間休日こども急病診療所,仙台市太白区あすと長町１丁目１－１　仙台市立病院１階,022-247-7035
仙台市立病院,仙台市太白区あすと長町１丁目１－１,022-308-7111
仙台赤十字病院,仙台市太白区八木山本町２丁目４３−３,022-243-1111
仙台富沢病院,仙台市太白区富沢字寺城１１−４,022-307-3375
仙台西多賀病院,仙台市太白区鈎取本町２−１１−１１,022-245-2111
仙台柳生クリニック,仙台市太白区柳生７丁目１６−１,022-241-6651
太白ありのまま舎医務室,仙台市太白区茂庭台２丁目１５−３０,022-281-1200
太白クリニック,仙台市太白区富沢字鍛冶屋敷前２３,022-226-8339
舘下診療所,仙台市太白区長町５丁目２−１６　１０１,022-748-0173
ちばクリニック,仙台市太白区緑ケ丘１丁目３−１９,022-248-5778
富沢ホームケアクリニック,仙台市太白区大野田４丁目１８－２,022-796-1720
富沢南とだクリニック,仙台市太白区富沢南１丁目１４−３,022-243-7288
内科星クリニック,仙台市太白区袋原６丁目１０−３１,022-241-3366
ないとうクリニック,仙台市太白区茂庭台３丁目３０－３０,022-281-5490
中田公園前クリニック,仙台市太白区東中田４丁目５−５,022-241-5555
中田内科胃腸科医院,仙台市太白区中田４丁目１６−３,022-306-1511
長町病院,仙台市太白区長町３丁目７−２６,022-746-5161
長町南クリニック,仙台市太白区長町南２丁目６－５,022-796-8763
なるみ赤ちゃんこどもクリニック,仙台市太白区長町南３－９－２８　バリーハイツ２Ｆ,022-746-8452
新井川内科,仙台市太白区泉崎１丁目２９−１５,022-243-4141
西多賀やまだ内科,仙台市太白区西多賀３丁目５－１８,022-796-5090
西中田中央内科小児科,仙台市太白区西中田５丁目１２−１２,022-241-1131
花だて内科循環器科,仙台市太白区大野田５丁目３８－３,022-797-3466
仙台クリニック,仙台市太白区秋保町湯元字木戸保１−１,022-398-2201
仙台クローバークリニック,仙台市太白区あすと長町１丁目２－１　長町メディカルプラザ３階,022-797-5164
仙台市夜間休日こども急病診療所,仙台市太白区あすと長町１丁目１－１　仙台市立病院１階,022-247-7035
仙台市立病院,仙台市太白区あすと長町１丁目１－１,022-308-7111
仙台赤十字病院,仙台市太白区八木山本町２丁目４３−３,022-243-1111
仙台富沢病院,仙台市太白区富沢字寺城１１−４,022-307-3375
仙台西多賀病院,仙台市太白区鈎取本町２−１１−１１,022-245-2111
仙台柳生クリニック,仙台市太白区柳生７丁目１６−１,022-241-6651
太白ありのまま舎医務室,仙台市太白区茂庭台２丁目１５−３０,022-281-1200
太白クリニック,仙台市太白区富沢字鍛冶屋敷前２３,022-226-8339
舘下診療所,仙台市太白区長町５丁目２−１６　１０１,022-748-0173
ちばクリニック,仙台市太白区緑ケ丘１丁目３−１９,022-248-5778
富沢ホームケアクリニック,仙台市太白区大野田４丁目１８－２,022-796-1720
富沢南とだクリニック,仙台市太白区富沢南１丁目１４−３,022-243-7288
内科星クリニック,仙台市太白区袋原６丁目１０−３１,022-241-3366
ないとうクリニック,仙台市太白区茂庭台３丁目３０－３０,022-281-5490
中田公園前クリニック,仙台市太白区東中田４丁目５−５,022-241-5555
中田内科胃腸科医院,仙台市太白区中田４丁目１６−３,022-306-1511
長町病院,仙台市太白区長町３丁目７−２６,022-746-5161
長町南クリニック,仙台市太白区長町南２丁目６－５,022-796-8763
なるみ赤ちゃんこどもクリニック,仙台市太白区長町南３－９－２８　バリーハイツ２Ｆ,022-746-8452
新井川内科,仙台市太白区泉崎１丁目２９−１５,022-243-4141
西多賀やまだ内科,仙台市太白区西多賀３丁目５－１８,022-796-5090
西中田中央内科小児科,仙台市太白区西中田５丁目１２−１２,022-241-1131
花だて内科循環器科,仙台市太白区大野田５丁目３８－３,022-797-3466
仙台クリニック,仙台市太白区秋保町湯元字木戸保１−１,022-398-2201
仙台クローバークリニック,仙台市太白区あすと長町１丁目２－１　長町メディカルプラザ３階,022-797-5164
仙台市夜間休日こども急病診療所,仙台市太白区あすと長町１丁目１－１　仙台市立病院１階,022-247-7035
仙台市立病院,仙台市太白区あすと長町１丁目１－１,022-308-7111
仙台赤十字病院,仙台市太白区八木山本町２丁目４３−３,022-243-1111
仙台富沢病院,仙台市太白区富沢字寺城１１−４,022-307-3375
仙台西多賀病院,仙台市太白区鈎取本町２−１１−１１,022-245-2111
仙台柳生クリニック,仙台市太白区柳生７丁目１６−１,022-241-6651
太白ありのまま舎医務室,仙台市太白区茂庭台２丁目１５−３０,022-281-1200
太白クリニック,仙台市太白区富沢字鍛冶屋敷前２３,022-226-8339
舘下診療所,仙台市太白区長町５丁目２−１６　１０１,022-748-0173
ちばクリニック,仙台市太白区緑ケ丘１丁目３−１９,022-248-5778
富沢ホームケアクリニック,仙台市太白区大野田４丁目１８－２,022-796-1720
富沢南とだクリニック,仙台市太白区富沢南１丁目１４−３,022-243-7288
内科星クリニック,仙台市太白区袋原６丁目１０−３１,022-241-3366
ないとうクリニック,仙台市太白区茂庭台３丁目３０－３０,022-281-5490
中田公園前クリニック,仙台市太白区東中田４丁目５−５,022-241-5555
中田内科胃腸科医院,仙台市太白区中田４丁目１６−３,022-306-1511
長町病院,仙台市太白区長町３丁目７−２６,022-746-5161
長町南クリニック,仙台市太白区長町南２丁目６－５,022-796-8763
なるみ赤ちゃんこどもクリニック,仙台市太白区長町南３－９－２８　バリーハイツ２Ｆ,022-746-8452
新井川内科,仙台市太白区泉崎１丁目２９−１５,022-243-4141
西多賀やまだ内科,仙台市太白区西多賀３丁目５－１８,022-796-5090
西中田中央内科小児科,仙台市太白区西中田５丁目１２−１２,022-241-1131
花だて内科循環器科,仙台市太白区大野田５丁目３８－３,022-797-3466
仙台クリニック,仙台市太白区秋保町湯元字木戸保１−１,022-398-2201
仙台クローバークリニック,仙台市太白区あすと長町１丁目２－１　長町メディカルプラザ３階,022-797-5164
仙台市夜間休日こども急病診療所,仙台市太白区あすと長町１丁目１－１　仙台市立病院１階,022-247-7035
仙台市立病院,仙台市太白区あすと長町１丁目１－１,022-308-7111
仙台赤十字病院,仙台市太白区八木山本町２丁目４３−３,022-243-1111
仙台富沢病院,仙台市太白区富沢字寺城１１−４,022-307-3375
仙台西多賀病院,仙台市太白区鈎取本町２−１１−１１,022-245-2111
仙台柳生クリニック,仙台市太白区柳生７丁目１６−１,022-241-6651
太白ありのまま舎医務室,仙台市太白区茂庭台２丁目１５−３０,022-281-1200
太白クリニック,仙台市太白区富沢字鍛冶屋敷前２３,022-226-8339
舘下診療所,仙台市太白区長町５丁目２−１６　１０１,022-748-0173
ちばクリニック,仙台市太白区緑ケ丘１丁目３−１９,022-248-5778
富沢ホームケアクリニック,仙台市太白区大野田４丁目１８－２,022-796-1720
富沢南とだクリニック,仙台市太白区富沢南１丁目１４−３,022-243-7288
内科星クリニック,仙台市太白区袋原６丁目１０−３１,022-241-3366
ないとうクリニック,仙台市太白区茂庭台３丁目３０－３０,022-281-5490
中田公園前クリニック,仙台市太白区東中田４丁目５−５,022-241-5555
中田内科胃腸科医院,仙台市太白区中田４丁目１６−３,022-306-1511
長町病院,仙台市太白区長町３丁目７−２６,022-746-5161
長町南クリニック,仙台市太白区長町南２丁目６－５,022-796-8763
なるみ赤ちゃんこどもクリニック,仙台市太白区長町南３－９－２８　バリーハイツ２Ｆ,022-746-8452
新井川内科,仙台市太白区泉崎１丁目２９−１５,022-243-4141
西多賀やまだ内科,仙台市太白区西多賀３丁目５－１８,022-796-5090
西中田中央内科小児科,仙台市太白区西中田５丁目１２−１２,022-241-1131
花だて内科循環器科,仙台市太白区大野田５丁目３８－３,022-797-3466
仙台クリニック,仙台市太白区秋保町湯元字木戸保１−１,022-398-2201
仙台クローバークリニック,仙台市太白区あすと長町１丁目２－１　長町メディカルプラザ３階,022-797-5164
仙台市夜間休日こども急病診療所,仙台市太白区あすと長町１丁目１－１　仙台市立病院１階,022-247-7035
仙台市立病院,仙台市太白区あすと長町１丁目１－１,022-308-7111
仙台赤十字病院,仙台市太白区八木山本町２丁目４３−３,022-243-1111
仙台富沢病院,仙台市太白区富沢字寺城１１−４,022-307-3375
仙台西多賀病院,仙台市太白区鈎取本町２−１１−１１,022-245-2111
仙台柳生クリニック,仙台市太白区柳生７丁目１６−１,022-241-6651
太白ありのまま舎医務室,仙台市太白区茂庭台２丁目１５−３０,022-281-1200
太白クリニック,仙台市太白区富沢字鍛冶屋敷前２３,022-226-8339
舘下診療所,仙台市太白区長町５丁目２−１６　１０１,022-748-0173
ちばクリニック,仙台市太白区緑ケ丘１丁目３−１９,022-248-5778
富沢ホームケアクリニック,仙台市太白区大野田４丁目１８－２,022-796-1720
富沢南とだクリニック,仙台市太白区富沢南１丁目１４−３,022-243-7288
内科星クリニック,仙台市太白区袋原６丁目１０−３１,022-241-3366
ないとうクリニック,仙台市太白区茂庭台３丁目３０－３０,022-281-5490
中田公園前クリニック,仙台市太白区東中田４丁目５−５,022-241-5555
中田内科胃腸科医院,仙台市太白区中田４丁目１６−３,022-306-1511
長町病院,仙台市太白区長町３丁目７−２６,022-746-5161
長町南クリニック,仙台市太白区長町南２丁目６－５,022-796-8763
なるみ赤ちゃんこどもクリニック,仙台市太白区長町南３－９－２８　バリーハイツ２Ｆ,022-746-8452
新井川内科,仙台市太白区泉崎１丁目２９−１５,022-243-4141
西多賀やまだ内科,仙台市太白区西多賀３丁目５－１８,022-796-5090
西中田中央内科小児科,仙台市太白区西中田５丁目１２−１２,022-241-1131
花だて内科循環器科,仙台市太白区大野田５丁目３８－３,022-797-3466
仙台クリニック,仙台市太白区秋保町湯元字木戸保１−１,022-398-2201
仙台クローバークリニック,仙台市太白区あすと長町１丁目２－１　長町メディカルプラザ３階,022-797-5164
仙台市夜間休日こども急病診療所,仙台市太白区あすと長町１丁目１－１　仙台市立病院１階,022-247-7035
仙台市立病院,仙台市太白区あすと長町１丁目１－１,022-308-7111
仙台赤十字病院,仙台市太白区八木山本町２丁目４３−３,022-243-1111
仙台富沢病院,仙台市太白区富沢字寺城１１−４,022-307-3375
仙台西多賀病院,仙台市太白区鈎取本町２−１１−１１,022-245-2111
仙台柳生クリニック,仙台市太白区柳生７丁目１６−１,022-241-6651
太白ありのまま舎医務室,仙台市太白区茂庭台２丁目１５−３０,022-281-1200
太白クリニック,仙台市太白区富沢字鍛冶屋敷前２３,022-226-8339
舘下診療所,仙台市太白区長町５丁目２−１６　１０１,022-748-0173
ちばクリニック,仙台市太白区緑ケ丘１丁目３−１９,022-248-5778
富沢ホームケアクリニック,仙台市太白区大野田４丁目１８－２,022-796-1720
富沢南とだクリニック,仙台市太白区富沢南１丁目１４−３,022-243-7288
内科星クリニック,仙台市太白区袋原６丁目１０−３１,022-241-3366
ないとうクリニック,仙台市太白区茂庭台３丁目３０－３０,022-281-5490
中田公園前クリニック,仙台市太白区東中田４丁目５−５,022-241-5555
中田内科胃腸科医院,仙台市太白区中田４丁目１６−３,022-306-1511
長町病院,仙台市太白区長町３丁目７−２６,022-746-5161
長町南クリニック,仙台市太白区長町南２丁目６－５,022-796-8763
なるみ赤ちゃんこどもクリニック,仙台市太白区長町南３－９－２８　バリーハイツ２Ｆ,022-746-8452
新井川内科,仙台市太白区泉崎１丁目２９−１５,022-243-4141
西多賀やまだ内科,仙台市太白区西多賀３丁目５－１８,022-796-5090
西中田中央内科小児科,仙台市太白区西中田５丁目１２−１２,022-241-1131
花だて内科循環器科,仙台市太白区大野田５丁目３８－３,022-797-3466
仙台クリニック,仙台市太白区秋保町湯元字木戸保１−１,022-398-2201
仙台クローバークリニック,仙台市太白区あすと長町１丁目２－１　長町メディカルプラザ３階,022-797-5164
仙台市夜間休日こども急病診療所,仙台市太白区あすと長町１丁目１－１　仙台市立病院１階,022-247-7035
仙台市立病院,仙台市太白区あすと長町１丁目１－１,022-308-7111
仙台赤十字病院,仙台市太白区八木山本町２丁目４３−３,022-243-1111
仙台富沢病院,仙台市太白区富沢字寺城１１−４,022-307-3375
仙台西多賀病院,仙台市太白区鈎取本町２−１１−１１,022-245-2111
仙台柳生クリニック,仙台市太白区柳生７丁目１６−１,022-241-6651
太白ありのまま舎医務室,仙台市太白区茂庭台２丁目１５−３０,022-281-1200
太白クリニック,仙台市太白区富沢字鍛冶屋敷前２３,022-226-8339
舘下診療所,仙台市太白区長町５丁目２−１６　１０１,022-748-0173
ちばクリニック,仙台市太白区緑ケ丘１丁目３−１９,022-248-5778
富沢ホームケアクリニック,仙台市太白区大野田４丁目１８－２,022-796-1720
富沢南とだクリニック,仙台市太白区富沢南１丁目１４−３,022-243-7288
内科星クリニック,仙台市太白区袋原６丁目１０−３１,022-241-3366
ないとうクリニック,仙台市太白区茂庭台３丁目３０－３０,022-281-5490
中田公園前クリニック,仙台市太白区東中田４丁目５−５,022-241-5555
中田内科胃腸科医院,仙台市太白区中田４丁目１６−３,022-306-1511
長町病院,仙台市太白区長町３丁目７−２６,022-746-5161
長町南クリニック,仙台市太白区長町南２丁目６－５,022-796-8763
なるみ赤ちゃんこどもクリニック,仙台市太白区長町南３－９－２８　バリーハイツ２Ｆ,022-746-8452
新井川内科,仙台市太白区泉崎１丁目２９−１５,022-243-4141
西多賀やまだ内科,仙台市太白区西多賀３丁目５－１８,022-796-5090
西中田中央内科小児科,仙台市太白区西中田５丁目１２−１２,022-241-1131
花だて内科循環器科,仙台市太白区大野田５丁目３８－３,022-797-3466
仙台クリニック,仙台市太白区秋保町湯元字木戸保１−１,022-398-2201
仙台クローバークリニック,仙台市太白区あすと長町１丁目２－１　長町メディカルプラザ３階,022-797-5164
仙台市夜間休日こども急病診療所,仙台市太白区あすと長町１丁目１－１　仙台市立病院１階,022-247-7035
仙台市立病院,仙台市太白区あすと長町１丁目１－１,022-308-7111
仙台赤十字病院,仙台市太白区八木山本町２丁目４３−３,022-243-1111
仙台富沢病院,仙台市太白区富沢字寺城１１−４,022-307-3375
仙台西多賀病院,仙台市太白区鈎取本町２−１１−１１,022-245-2111
仙台柳生クリニック,仙台市太白区柳生７丁目１６−１,022-241-6651
太白ありのまま舎医務室,仙台市太白区茂庭台２丁目１５−３０,022-281-1200
太白クリニック,仙台市太白区富沢字鍛冶屋敷前２３,022-226-8339
舘下診療所,仙台市太白区長町５丁目２−１６　１０１,022-748-0173
ちばクリニック,仙台市太白区緑ケ丘１丁目３−１９,022-248-5778
富沢ホームケアクリニック,仙台市太白区大野田４丁目１８－２,022-796-1720
富沢南とだクリニック,仙台市太白区富沢南１丁目１４−３,022-243-7288
内科星クリニック,仙台市太白区袋原６丁目１０−３１,022-241-3366
ないとうクリニック,仙台市太白区茂庭台３丁目３０－３０,022-281-5490
中田公園前クリニック,仙台市太白区東中田４丁目５−５,022-241-5555
中田内科胃腸科医院,仙台市太白区中田４丁目１６−３,022-306-1511
長町病院,仙台市太白区長町３丁目７−２６,022-746-5161
長町南クリニック,仙台市太白区長町南２丁目６－５,022-796-8763
なるみ赤ちゃんこどもクリニック,仙台市太白区長町南３－９－２８　バリーハイツ２Ｆ,022-746-8452
新井川内科,仙台市太白区泉崎１丁目２９−１５,022-243-4141
西多賀やまだ内科,仙台市太白区西多賀３丁目５－１８,022-796-5090
西中田中央内科小児科,仙台市太白区西中田５丁目１２−１２,022-241-1131
花だて内科循環器科,仙台市太白区大野田５丁目３８－３,022-797-3466
仙台クリニック,仙台市太白区秋保町湯元字木戸保１−１,022-398-2201
仙台クローバークリニック,仙台市太白区あすと長町１丁目２－１　長町メディカルプラザ３階,022-797-5164
仙台市夜間休日こども急病診療所,仙台市太白区あすと長町１丁目１－１　仙台市立病院１階,022-247-7035
仙台市立病院,仙台市太白区あすと長町１丁目１－１,022-308-7111
仙台赤十字病院,仙台市太白区八木山本町２丁目４３−３,022-243-1111
仙台富沢病院,仙台市太白区富沢字寺城１１−４,022-307-3375
仙台西多賀病院,仙台市太白区鈎取本町２−１１−１１,022-245-2111
仙台柳生クリニック,仙台市太白区柳生７丁目１６−１,022-241-6651
太白ありのまま舎医務室,仙台市太白区茂庭台２丁目１５−３０,022-281-1200
太白クリニック,仙台市太白区富沢字鍛冶屋敷前２３,022-226-8339
舘下診療所,仙台市太白区長町５丁目２−１６　１０１,022-748-0173
ちばクリニック,仙台市太白区緑ケ丘１丁目３−１９,022-248-5778
富沢ホームケアクリニック,仙台市太白区大野田４丁目１８－２,022-796-1720
富沢南とだクリニック,仙台市太白区富沢南１丁目１４−３,022-243-7288
内科星クリニック,仙台市太白区袋原６丁目１０−３１,022-241-3366
ないとうクリニック,仙台市太白区茂庭台３丁目３０－３０,022-281-5490
中田公園前クリニック,仙台市太白区東中田４丁目５−５,022-241-5555
中田内科胃腸科医院,仙台市太白区中田４丁目１６−３,022-306-1511
長町病院,仙台市太白区長町３丁目７−２６,022-746-5161
長町南クリニック,仙台市太白区長町南２丁目６－５,022-796-8763
なるみ赤ちゃんこどもクリニック,仙台市太白区長町南３－９－２８　バリーハイツ２Ｆ,022-746-8452
新井川内科,仙台市太白区泉崎１丁目２９−１５,022-243-4141
西多賀やまだ内科,仙台市太白区西多賀３丁目５－１８,022-796-5090
西中田中央内科小児科,仙台市太白区西中田５丁目１２−１２,022-241-1131
花だて内科循環器科,仙台市太白区大野田５丁目３８－３,022-797-3466
仙台クリニック,仙台市太白区秋保町湯元字木戸保１−１,022-398-2201
仙台クローバークリニック,仙台市太白区あすと長町１丁目２－１　長町メディカルプラザ３階,022-797-5164
仙台市夜間休日こども急病診療所,仙台市太白区あすと長町１丁目１－１　仙台市立病院１階,022-247-7035
仙台市立病院,仙台市太白区あすと長町１丁目１－１,022-308-7111
仙台赤十字病院,仙台市太白区八木山本町２丁目４３−３,022-243-1111
仙台富沢病院,仙台市太白区富沢字寺城１１−４,022-307-3375
仙台西多賀病院,仙台市太白区鈎取本町２−１１−１１,022-245-2111
仙台柳生クリニック,仙台市太白区柳生７丁目１６−１,022-241-6651
